spell,spell_class,description,duration,cost_to_cast,cost_to_maintain,time_to_cast,prerequisites,difficulty,spell_college,item_enchantment
Create Animal,Regular,"Create an animal (IQ 5 or less) that does your mental bidding while it exists. A created living being continues to exist until the caster stops maintaining the spell, or until it is killed, at which point it vanishes.

A living creation must be identical to a “real” living being with which the caster is familiar. You cannot create an imaginary being, or even a real creature of which you have only heard stories. Neither can you create a bear with poison fangs . . . but some wizards occasionally research private variations on the spell to make unusual creatures.

Create Animal may also be used to create a swarm of small creatures (p. B461). A “swarm” costs 2 energy to create.",1 minute,"2, multiplied by 1 + SM for animals larger than SM 0.",Half,"Equal to cost, in seconds.","Create Water, Create Object, and IQ 12 or higher.",Hard,Illusion and Creation,
Create Mount,Regular,"Create a stupid but obedient mount on which to ride while it exists.
It can also be used as a draft animal. The mount’s traits are equivalent to a pony (p. B460), but the caster sets its appearance at casting time; it can be a horse, camel, dolphin, dwarf elephant, huge ostrich, or anything else the GM agrees to (use the Create Animal guidelines). The mount can only understand very simple spoken commands, such as stop, go, left, right, about face, etc. It is under the GM’s control and cannot fight or handle confusing situations; it has no skills. Faced with danger, it will whimper, bolt, or simply vanish.

The caster may also choose to create a Brute mount with ST 35, a Winged mount with Move 7/14, a Racing mount with Move 18, or a War-Trained mount that remains calm in dangerous situations and can be ordered to trample or attack.",1 hour,"8 to cast. Double the cost for a Brute mount, a Winged mount, a War-Trained mount, or a Racing mount. Triple the cost for a Winged Racing mount, etc.","3 to maintain. Double the cost for a Brute mount, a Winged mount, a War-Trained mount, or a Racing mount. Triple the cost for a Winged Racing mount, etc.",3 seconds,Magery 3 and Create Animal,Hard,Illusion and Creation,
Control Creation,Regular; Resisted by subject spell.,"Takes control of a living Creation cast by someone else. On a success, further energy costs are necessary to maintain the creation. On a failure, the creation remains the original caster’s. This spell cannot affect an Illusion.",,1,,2 seconds,Create Animal or Create Servant,Hard,Illusion and Creation,"Wand or staff; the item must touch the subject creation.
Energy cost to create: 400."
Dispel Creation,Regular; Resisted by subject spell.,Destroys any sort of Creation. Does not affect illusions.,,"1 to dispel a nonliving subject, or 3 to dispel a living creation.",,,Control Creation,Hard,Illusion and Creation,"Wand or staff.
Energy cost to create: 500."
Measurement,Area; Information,"Tells the caster any one of the following things about the subject:
(a) its weight;
(b) its measurements in all dimensions;
(c) its area;
(d) its volume.

This spell will provide information in the native system of the caster, be that pounds, grams, or stones about the size of your head. The measurement is as precise as the caster can comprehend.
In some settings, where other quantities are commonly measured, other measurements may be possible. At high TLs, for example, the wave-length of a color may be determined, or the frequency of a sound. The speed of a moving object or the local gravity are also quantities that could be measured  in some settings.",,1,,,,Hard,Knowledge,"A different item exists for each of the above functions: an enchanted ruler for measurement, scales for weight, a lens for color, or an onyx cube for volume. The item must touch the subject.
Energy cost to create: 50."
Tell Time,Information,"Tells the caster what time it is – as well as the day and year, should that be in doubt.",,1,,,,Hard,Knowledge,"Jewelry that lets the wearer know the exact time whenever he wants.
Energy cost to create: 250."
Alarm,Regular,"Alerts the subject at a specified time in the future, awakening him if necessary. It will also remind him of one thing (in effect, delivering a message), provided he specified that thing at the time the Alarm spell was cast.
Can be set to “go off” up to a week from time of casting.",1 week,1,,,Tell Time,Hard,Knowledge,"Jewelry. It will buzz or vibrate at exactly the same time every day, as set by the original creator.
Energy cost to create: 60."
Far-Feeling,Regular,"The subject can feel by touch any object that he can see (even at a great distance) or through solid objects totaling no more than 6 feet in thickness. The sensations are one-way (to pinch a wench, use the Manipulate spell); in particular, a mage cannot deliver spells by Far-Feeling!",1 minute,3,1,3 seconds,Magery 1,Hard,Knowledge,"Gloves or jewelry. Affects only the wearer.
Energy cost to create: 200."
Find Direction,Information,"Tells the caster which direction is North. Alternately, it can tell which way his home is. Note that no one can have more than one true home, and a wanderer may have none!",,2,,,Magery 1,Hard,Knowledge,"Enchanted compass needle that points north, or to the user’s home, on command.
Energy cost to create: 250."
Tell Position,Information,"Tells the caster the subject’s exact distance, azimuth, and altitude relative to the caster. The caster must be able to see the subject.",,1,,,Measurement,Hard,Knowledge,"Staff, wand, or jewelry.
Energy cost to create: 150."
Test Load,Area; Information,"Tells the caster how much weight the subject can support before warping or breaking. This can reveal the  capacity of bridges, baskets, ropes, etc.",,1 (minimum 2).,,,Measurement,Hard,Knowledge,"Staff or wand; the item must touch the subject.
Energy cost to create: 80."
Small Vision,Regular,"The subject can examine objects within his reach as if they were under x100 magnification, as per Microscopic Vision 2 (p. B68). While the spell is on, the subject is extremely nearsighted (see Bad Sight. p. B123): he is incapable of seeing objects further than a yard away clearly – they appear blurred and all melee attacks are made at -2 to skill.",1 minute,"4;
Each doubling of casting cost increases the magnification ten-fold.",2,2 seconds,Keen Vision or at least five Light and Darkness spells. Subject must not suffer from Blindness or Bad Sight.,Hard,"Knowledge, Light and Darkness","(a) Clothing or jewelry. The item must bear a life-size picture of a flea. Only affects the wearer.
Energy cost to create: 400.

(b) A gem that works as a magnifying glass.
Cost to create: 400 energy, plus the cost of the gem."
